Year,State,District,Style,Product Category,Sale Order Qty,Delivered Qty
FY 24-25,TAMIL NADU,DHARAMAPURI,IELYRC,FG-PANTIES,112,8
FY 24-25,TAMIL NADU,DHARAMAPURI,IN01,FG-BRA,1079,1023
FY 24-25,TAMIL NADU,DHARAMAPURI,IN01,FG-SLIP,23,16
FY 24-25,TAMIL NADU,DHARAMAPURI,IN05,FG-BRA,1226,1187
FY 24-25,TAMIL NADU,DHARAMAPURI,IN07,FG-SLIP,830,492
FY 24-25,TAMIL NADU,DHARAMAPURI,IN08,FG-SLIP,585,409
FY 24-25,TAMIL NADU,DHARAMAPURI,IN15,FG-SLIP,702,578
FY 24-25,TAMIL NADU,DHARAMAPURI,IN16,FG-SLIP,5,5
FY 24-25,TAMIL NADU,DHARAMAPURI,IN21,FG-BRA,544,497
FY 24-25,TAMIL NADU,DHARAMAPURI,IN27,FG-BRA,537,527
FY 24-25,TAMIL NADU,DHARAMAPURI,IN29,FG-BRA,3234,3080
FY 24-25,TAMIL NADU,DHARAMAPURI,KRKR,FG-BRA,1,1
FY 24-25,TAMIL NADU,DHARAMAPURI,LOVE,FG-BRA,515,499
FY 24-25,TAMIL NADU,DHARAMAPURI,NGSL,FG-SLIP,68,51
FY 24-25,TAMIL NADU,DHARAMAPURI,NHPB,FG-BRA,6,5
FY 24-25,TAMIL NADU,DHARAMAPURI,NOVA,FG-BRA,47,43
FY 24-25,TAMIL NADU,DHARAMAPURI,NRPB,FG-BRA,302,242
FY 24-25,TAMIL NADU,DHARAMAPURI,NTHK,FG-BRA,8,7
FY 24-25,TAMIL NADU,DHARAMAPURI,NTRL,FG-BRA,971,900
FY 24-25,TAMIL NADU,DHARAMAPURI,OECDPL,FG-PANTIES,997,389
FY 24-25,TAMIL NADU,DHARAMAPURI,OECDPR,FG-PANTIES,1145,551
FY 24-25,TAMIL NADU,DHARAMAPURI,PRTI,FG-BRA,397,396
FY 24-25,TAMIL NADU,DHARAMAPURI,PRTR,FG-BRA,55,55
FY 24-25,TAMIL NADU,DHARAMAPURI,SW03,FG-PETTICOAT,12,12
FY 24-25,TAMIL NADU,DHARAMAPURI,TEEN,FG-BRA,32,30
FY 24-25,TAMIL NADU,DHARAMAPURI,TRND,FG-BRA,339,335
FY 24-25,TAMIL NADU,DHARAMAPURI,UC05,FG-BRA,3,3
FY 24-25,TAMIL NADU,DHARAMAPURI,UC09,FG-BRA,868,704
FY 24-25,TAMIL NADU,DINDIGUL,3NSL,FG-SLIP,91,57
FY 24-25,TAMIL NADU,DINDIGUL,BB01,FG-BRA,563,519
FY 24-25,TAMIL NADU,DINDIGUL,BL01,FG-BRA,4,2
FY 24-25,TAMIL NADU,DINDIGUL,CA01,FG-BRA,3813,3419
FY 24-25,TAMIL NADU,DINDIGUL,CA05,FG-BRA,1005,977
FY 24-25,TAMIL NADU,DINDIGUL,CA09,FG-BRA,2,2
FY 24-25,TAMIL NADU,DINDIGUL,CA11,FG-BRA,10,8
FY 24-25,TAMIL NADU,DINDIGUL,CA12,FG-BRA,70,60
FY 24-25,TAMIL NADU,DINDIGUL,CA15,FG-BRA,527,432
FY 24-25,TAMIL NADU,DINDIGUL,CB03,FG-BRA,12,6
FY 24-25,TAMIL NADU,DINDIGUL,CHRM,FG-BRA,143,143
FY 24-25,TAMIL NADU,DINDIGUL,CL01,FG-SLIP,93,57
FY 24-25,TAMIL NADU,DINDIGUL,CLSI,FG-BRA,100,95
FY 24-25,TAMIL NADU,DINDIGUL,CLSR,FG-BRA,24,24
FY 24-25,TAMIL NADU,DINDIGUL,CMFT,FG-BRA,644,644
FY 24-25,TAMIL NADU,DINDIGUL,CNDI,FG-BRA,1095,1056
FY 24-25,TAMIL NADU,DINDIGUL,CNDR,FG-BRA,201,199
FY 24-25,TAMIL NADU,DINDIGUL,CRSS,FG-BRA,7037,6799
FY 24-25,TAMIL NADU,DINDIGUL,DEFC,FG-BRA,409,323
FY 24-25,TAMIL NADU,DINDIGUL,DEFM,FG-BRA,931,882
FY 24-25,TAMIL NADU,DINDIGUL,DEFT,FG-BRA,653,623
FY 24-25,TAMIL NADU,DINDIGUL,EC05,FG-BRA,213,113
FY 24-25,TAMIL NADU,DINDIGUL,EC06,FG-BRA,197,142
FY 24-25,TAMIL NADU,DINDIGUL,EC07,FG-BRA,542,468
FY 24-25,TAMIL NADU,DINDIGUL,EEVI,FG-BRA,37,25
FY 24-25,TAMIL NADU,DINDIGUL,EFRT,FG-BRA,294,294
FY 24-25,TAMIL NADU,DINDIGUL,ER16,FG-BRA,244,239
FY 24-25,TAMIL NADU,DINDIGUL,ERCA,FG-BRA,66,66
FY 24-25,TAMIL NADU,DINDIGUL,ES02,FG-BRA,8400,6977
FY 24-25,TAMIL NADU,DINDIGUL,ES06,FG-BRA,5027,4562
FY 24-25,TAMIL NADU,DINDIGUL,ES11,FG-BRA,36,30
FY 24-25,TAMIL NADU,DINDIGUL,ES21,FG-BRA,516,387
FY 24-25,TAMIL NADU,DINDIGUL,EWSB,FG-BRA,6,0
FY 24-25,TAMIL NADU,DINDIGUL,F909,FG-BRA,1499,1451
FY 24-25,TAMIL NADU,DINDIGUL,FB07,FG-BRA,93,83
FY 24-25,TAMIL NADU,DINDIGUL,FLFG,FG-BRA,1361,1203
FY 24-25,TAMIL NADU,DINDIGUL,FRTH,FG-BRA,753,731
FY 24-25,TAMIL NADU,DINDIGUL,GLRI,FG-BRA,391,381
FY 24-25,TAMIL NADU,DINDIGUL,GLRR,FG-BRA,161,161
FY 24-25,TAMIL NADU,DINDIGUL,IECDPL,FG-PANTIES,1331,576
FY 24-25,TAMIL NADU,DINDIGUL,IECDPR,FG-PANTIES,1527,848
FY 24-25,TAMIL NADU,DINDIGUL,IN01,FG-BRA,6427,6182
FY 24-25,TAMIL NADU,DINDIGUL,IN01,FG-SLIP,27,21
FY 24-25,TAMIL NADU,DINDIGUL,IN05,FG-BRA,934,910
FY 24-25,TAMIL NADU,DINDIGUL,IN05,FG-SLIP,5,5
FY 24-25,TAMIL NADU,DINDIGUL,IN07,FG-SLIP,932,754
FY 24-25,TAMIL NADU,DINDIGUL,IN08,FG-SLIP,592,510
FY 24-25,TAMIL NADU,DINDIGUL,IN11,FG-SLIP,138,50
FY 24-25,TAMIL NADU,DINDIGUL,IN15,FG-SLIP,735,582
FY 24-25,TAMIL NADU,DINDIGUL,IN21,FG-BRA,1055,963
FY 24-25,TAMIL NADU,DINDIGUL,IN22,FG-SLIP,208,107
FY 24-25,TAMIL NADU,DINDIGUL,IN29,FG-BRA,5638,5339
FY 24-25,TAMIL NADU,DINDIGUL,KRKR,FG-BRA,438,385
FY 24-25,TAMIL NADU,DINDIGUL,LL05,FG-BRA,143,51
FY 24-25,TAMIL NADU,DINDIGUL,LOVE,FG-BRA,1449,1399
FY 24-25,TAMIL NADU,DINDIGUL,LVHK,FG-BRA,24,24
FY 24-25,TAMIL NADU,DINDIGUL,NGSL,FG-SLIP,254,216
FY 24-25,TAMIL NADU,DINDIGUL,NHPB,FG-BRA,239,163
FY 24-25,TAMIL NADU,DINDIGUL,NORA,FG-BRA,146,145
FY 24-25,TAMIL NADU,DINDIGUL,NRPB,FG-BRA,1425,1080
FY 24-25,TAMIL NADU,DINDIGUL,NTHK,FG-BRA,275,196
FY 24-25,TAMIL NADU,DINDIGUL,NTRL,FG-BRA,3710,3568
FY 24-25,TAMIL NADU,DINDIGUL,OECDPL,FG-PANTIES,1103,276
FY 24-25,TAMIL NADU,DINDIGUL,OECDPR,FG-PANTIES,936,278
FY 24-25,TAMIL NADU,DINDIGUL,PRTI,FG-BRA,593,588
FY 24-25,TAMIL NADU,DINDIGUL,PRTR,FG-BRA,190,190
FY 24-25,TAMIL NADU,DINDIGUL,TEEN,FG-BRA,32,28
FY 24-25,TAMIL NADU,DINDIGUL,TRND,FG-BRA,1921,1895
FY 24-25,TAMIL NADU,DINDIGUL,UC02,FG-BRA,210,146
FY 24-25,TAMIL NADU,DINDIGUL,UC09,FG-BRA,602,491
FY 24-25,TAMIL NADU,DINDIGUL,UF01,FG-BRA,137,37
FY 24-25,TAMIL NADU,DINDIGUL,VNH2,FG-BRA,55,13
FY 24-25,TAMIL NADU,ERODE,3NSL,FG-SLIP,1844,982
FY 24-25,TAMIL NADU,ERODE,BB01,FG-BRA,3733,3100
FY 24-25,TAMIL NADU,ERODE,BL01,FG-BRA,272,123
FY 24-25,TAMIL NADU,ERODE,BUTI,FG-BRA,387,383
FY 24-25,TAMIL NADU,ERODE,BUTR,FG-BRA,292,292
FY 24-25,TAMIL NADU,ERODE,CA01,FG-BRA,9725,8146
FY 24-25,TAMIL NADU,ERODE,CA05,FG-BRA,2442,2283
FY 24-25,TAMIL NADU,ERODE,CA09,FG-BRA,21,21
FY 24-25,TAMIL NADU,ERODE,CA12,FG-BRA,2572,1829
FY 24-25,TAMIL NADU,ERODE,CA15,FG-BRA,2420,1781
FY 24-25,TAMIL NADU,ERODE,CA80,FG-BRA,74,58
FY 24-25,TAMIL NADU,ERODE,CHRM,FG-BRA,61,61
FY 24-25,TAMIL NADU,ERODE,CHRR,FG-BRA,90,90
FY 24-25,TAMIL NADU,ERODE,CLSI,FG-BRA,47,47
FY 24-25,TAMIL NADU,ERODE,CLSR,FG-BRA,33,33
FY 24-25,TAMIL NADU,ERODE,CMFT,FG-BRA,1189,1178
FY 24-25,TAMIL NADU,ERODE,CNDI,FG-BRA,6685,6516
FY 24-25,TAMIL NADU,ERODE,CNDR,FG-BRA,1612,1596
FY 24-25,TAMIL NADU,ERODE,CRSS,FG-BRA,5844,5719
FY 24-25,TAMIL NADU,ERODE,CYLR,FG-BRA WASHER,50,50
FY 24-25,TAMIL NADU,ERODE,DEFC,FG-BRA,4445,2191
FY 24-25,TAMIL NADU,ERODE,DEFF,FG-BRA,10,10
FY 24-25,TAMIL NADU,ERODE,DEFM,FG-BRA,3972,3445
FY 24-25,TAMIL NADU,ERODE,DEFS,FG-BRA,50,47
FY 24-25,TAMIL NADU,ERODE,DEFT,FG-BRA,2945,2385
FY 24-25,TAMIL NADU,ERODE,E_SF,FG-BRA,21,21
FY 24-25,TAMIL NADU,ERODE,EC05,FG-BRA,1320,915
FY 24-25,TAMIL NADU,ERODE,EC06,FG-BRA,1799,1550
FY 24-25,TAMIL NADU,ERODE,EC07,FG-BRA,958,749
FY 24-25,TAMIL NADU,ERODE,EC09,FG-BRA,393,318
FY 24-25,TAMIL NADU,ERODE,EEVI,FG-BRA,610,407
FY 24-25,TAMIL NADU,ERODE,EFRT,FG-BRA,559,556
FY 24-25,TAMIL NADU,ERODE,ER16,FG-BRA,765,742
FY 24-25,TAMIL NADU,ERODE,ERCA,FG-BRA,379,375
FY 24-25,TAMIL NADU,ERODE,ES02,FG-BRA,30158,25165
FY 24-25,TAMIL NADU,ERODE,ES06,FG-BRA,19946,18334
FY 24-25,TAMIL NADU,ERODE,ES11,FG-BRA,225,217
FY 24-25,TAMIL NADU,ERODE,ES18,FG-BRA,172,164
FY 24-25,TAMIL NADU,ERODE,ES21,FG-BRA,5681,4292
FY 24-25,TAMIL NADU,ERODE,F909,FG-BRA,4521,4289
FY 24-25,TAMIL NADU,ERODE,FB07,FG-BRA,225,193
FY 24-25,TAMIL NADU,ERODE,FELZ,FG-BRA,160,159
FY 24-25,TAMIL NADU,ERODE,FLFG,FG-BRA,3307,2594
FY 24-25,TAMIL NADU,ERODE,FRTH,FG-BRA,879,846
FY 24-25,TAMIL NADU,ERODE,GLRI,FG-BRA,1058,1008
FY 24-25,TAMIL NADU,ERODE,GLRR,FG-BRA,207,207
FY 24-25,TAMIL NADU,ERODE,IECDPL,FG-PANTIES,4121,1679
FY 24-25,TAMIL NADU,ERODE,IECDPR,FG-PANTIES,6389,3498
FY 24-25,TAMIL NADU,ERODE,IELYPC,FG-PANTIES,810,100
FY 24-25,TAMIL NADU,ERODE,IELYRC,FG-PANTIES,472,20
FY 24-25,TAMIL NADU,ERODE,IN01,FG-BRA,1155,1137
FY 24-25,TAMIL NADU,ERODE,IN01,FG-SLIP,862,666
FY 24-25,TAMIL NADU,ERODE,IN02,FG-SLIP,2024,1218
FY 24-25,TAMIL NADU,ERODE,IN05,FG-BRA,849,803
FY 24-25,TAMIL NADU,ERODE,IN05,FG-SLIP,221,170
FY 24-25,TAMIL NADU,ERODE,IN07,FG-SLIP,3435,2461
FY 24-25,TAMIL NADU,ERODE,IN08,FG-SLIP,2976,2207
FY 24-25,TAMIL NADU,ERODE,IN09,FG-SLIP,76,68
FY 24-25,TAMIL NADU,ERODE,IN10,FG-SLIP,12,10
FY 24-25,TAMIL NADU,ERODE,IN11,FG-SLIP,793,205
FY 24-25,TAMIL NADU,ERODE,IN14,FG-SLIP,277,277
FY 24-25,TAMIL NADU,ERODE,IN15,FG-SLIP,2801,2368
FY 24-25,TAMIL NADU,ERODE,IN16,FG-SLIP,65,65
FY 24-25,TAMIL NADU,ERODE,IN21,FG-BRA,1492,1306
FY 24-25,TAMIL NADU,ERODE,IN22,FG-SLIP,21,12
FY 24-25,TAMIL NADU,ERODE,IN27,FG-BRA,215,212
FY 24-25,TAMIL NADU,ERODE,IN29,FG-BRA,4328,4165
FY 24-25,TAMIL NADU,ERODE,KRKR,FG-BRA,1578,1168
FY 24-25,TAMIL NADU,ERODE,LL05,FG-BRA,6,4
FY 24-25,TAMIL NADU,ERODE,LL06,FG-BRA,54,18
FY 24-25,TAMIL NADU,ERODE,LOVE,FG-BRA,744,730
FY 24-25,TAMIL NADU,ERODE,LVHK,FG-BRA,13,13
FY 24-25,TAMIL NADU,ERODE,NGSL,FG-SLIP,609,446
FY 24-25,TAMIL NADU,ERODE,NHPB,FG-BRA,395,283
FY 24-25,TAMIL NADU,ERODE,NORA,FG-BRA,174,170
FY 24-25,TAMIL NADU,ERODE,NOVA,FG-BRA,346,170
FY 24-25,TAMIL NADU,ERODE,NRPB,FG-BRA,1041,700
FY 24-25,TAMIL NADU,ERODE,NTHK,FG-BRA,43,43
FY 24-25,TAMIL NADU,ERODE,NTRL,FG-BRA,2792,2698
FY 24-25,TAMIL NADU,ERODE,OECDPL,FG-PANTIES,2089,978
FY 24-25,TAMIL NADU,ERODE,OECDPR,FG-PANTIES,2581,1345
FY 24-25,TAMIL NADU,ERODE,PRTI,FG-BRA,339,334
FY 24-25,TAMIL NADU,ERODE,PRTR,FG-BRA,73,73
FY 24-25,TAMIL NADU,ERODE,REGU,FG-ARMPAD,260,110
FY 24-25,TAMIL NADU,ERODE,SW02,FG-PETTICOAT,190,157
FY 24-25,TAMIL NADU,ERODE,TB01,FG-BRA,91,52
FY 24-25,TAMIL NADU,ERODE,TEEN,FG-BRA,452,439
FY 24-25,TAMIL NADU,ERODE,TRND,FG-BRA,1609,1583
FY 24-25,TAMIL NADU,ERODE,UC02,FG-BRA,576,356
FY 24-25,TAMIL NADU,ERODE,UC05,FG-BRA,12,3
FY 24-25,TAMIL NADU,ERODE,UC07,FG-BRA,87,57
FY 24-25,TAMIL NADU,ERODE,UC09,FG-BRA,4379,3092
FY 24-25,TAMIL NADU,ERODE,UC11,FG-BRA,217,182
FY 24-25,TAMIL NADU,ERODE,USWP,FG-SHORTS,115,100
FY 24-25,TAMIL NADU,ERODE,VNH2,FG-BRA,5,0
FY 24-25,TAMIL NADU,KALLAKURICHI,BB01,FG-BRA,46,45
FY 24-25,TAMIL NADU,KALLAKURICHI,CA01,FG-BRA,4,4
FY 24-25,TAMIL NADU,KALLAKURICHI,CA09,FG-BRA,3,3
FY 24-25,TAMIL NADU,KALLAKURICHI,CA15,FG-BRA,60,60
FY 24-25,TAMIL NADU,KALLAKURICHI,CMFT,FG-BRA,37,37
FY 24-25,TAMIL NADU,KALLAKURICHI,CNDI,FG-BRA,448,422
FY 24-25,TAMIL NADU,KALLAKURICHI,CNDR,FG-BRA,59,59
FY 24-25,TAMIL NADU,KALLAKURICHI,CRSS,FG-BRA,180,175
FY 24-25,TAMIL NADU,KALLAKURICHI,DEFC,FG-BRA,72,70
FY 24-25,TAMIL NADU,KALLAKURICHI,EC07,FG-BRA,228,174
FY 24-25,TAMIL NADU,KALLAKURICHI,ER16,FG-BRA,60,60
FY 24-25,TAMIL NADU,KALLAKURICHI,ES02,FG-BRA,84,78
FY 24-25,TAMIL NADU,KALLAKURICHI,GLRI,FG-BRA,136,136
FY 24-25,TAMIL NADU,KALLAKURICHI,GLRR,FG-BRA,119,110
FY 24-25,TAMIL NADU,KALLAKURICHI,IN08,FG-SLIP,18,18
FY 24-25,TAMIL NADU,KALLAKURICHI,IN29,FG-BRA,579,554
FY 24-25,TAMIL NADU,KALLAKURICHI,NHPB,FG-BRA,12,12
FY 24-25,TAMIL NADU,KALLAKURICHI,NRPB,FG-BRA,30,30
FY 24-25,TAMIL NADU,KALLAKURICHI,NTRL,FG-BRA,180,180
FY 24-25,TAMIL NADU,KALLAKURICHI,PRTI,FG-BRA,16,15
FY 24-25,TAMIL NADU,KALLAKURICHI,PRTR,FG-BRA,20,20
FY 24-25,TAMIL NADU,KALLAKURICHI,TRND,FG-BRA,78,77
FY 24-25,TAMIL NADU,KANCHEEPURAM,3NSL,FG-SLIP,383,208
FY 24-25,TAMIL NADU,KANCHEEPURAM,BB01,FG-BRA,1255,1136
FY 24-25,TAMIL NADU,KANCHEEPURAM,BUTI,FG-BRA,343,327
FY 24-25,TAMIL NADU,KANCHEEPURAM,BUTR,FG-BRA,132,131
FY 24-25,TAMIL NADU,KANCHEEPURAM,CA01,FG-BRA,1809,1689
FY 24-25,TAMIL NADU,KANCHEEPURAM,CA05,FG-BRA,519,510
FY 24-25,TAMIL NADU,KANCHEEPURAM,CA09,FG-BRA,2,2
FY 24-25,TAMIL NADU,KANCHEEPURAM,CA12,FG-BRA,463,285
FY 24-25,TAMIL NADU,KANCHEEPURAM,CA15,FG-BRA,159,106
FY 24-25,TAMIL NADU,KANCHEEPURAM,CA80,FG-BRA,12,6
FY 24-25,TAMIL NADU,KANCHEEPURAM,CB02,FG-BRA,8,8
FY 24-25,TAMIL NADU,KANCHEEPURAM,CHRM,FG-BRA,134,131
FY 24-25,TAMIL NADU,KANCHEEPURAM,CHRR,FG-BRA,49,49
FY 24-25,TAMIL NADU,KANCHEEPURAM,CLSI,FG-BRA,48,48
FY 24-25,TAMIL NADU,KANCHEEPURAM,CLSR,FG-BRA,204,201
FY 24-25,TAMIL NADU,KANCHEEPURAM,CMFT,FG-BRA,997,956
FY 24-25,TAMIL NADU,KANCHEEPURAM,CNDI,FG-BRA,3386,3156
FY 24-25,TAMIL NADU,KANCHEEPURAM,CNDR,FG-BRA,330,328
FY 24-25,TAMIL NADU,KANCHEEPURAM,CRSS,FG-BRA,6783,6616
FY 24-25,TAMIL NADU,KANCHEEPURAM,DEFC,FG-BRA,104,66
FY 24-25,TAMIL NADU,KANCHEEPURAM,DEFM,FG-BRA,436,394
FY 24-25,TAMIL NADU,KANCHEEPURAM,DEFT,FG-BRA,1023,844
FY 24-25,TAMIL NADU,KANCHEEPURAM,EC05,FG-BRA,481,389
FY 24-25,TAMIL NADU,KANCHEEPURAM,EC06,FG-BRA,683,531
FY 24-25,TAMIL NADU,KANCHEEPURAM,EC07,FG-BRA,711,583
FY 24-25,TAMIL NADU,KANCHEEPURAM,EEVI,FG-BRA,353,228
FY 24-25,TAMIL NADU,KANCHEEPURAM,EFRT,FG-BRA,573,573
FY 24-25,TAMIL NADU,KANCHEEPURAM,ER16,FG-BRA,287,280
FY 24-25,TAMIL NADU,KANCHEEPURAM,ERCA,FG-BRA,95,88
FY 24-25,TAMIL NADU,KANCHEEPURAM,ES02,FG-BRA,7743,7202
FY 24-25,TAMIL NADU,KANCHEEPURAM,ES06,FG-BRA,10062,9523
FY 24-25,TAMIL NADU,KANCHEEPURAM,ES18,FG-BRA,18,18
FY 24-25,TAMIL NADU,KANCHEEPURAM,ES21,FG-BRA,708,538
FY 24-25,TAMIL NADU,KANCHEEPURAM,F909,FG-BRA,1996,1977
FY 24-25,TAMIL NADU,KANCHEEPURAM,FELZ,FG-BRA,95,85
FY 24-25,TAMIL NADU,KANCHEEPURAM,FLFG,FG-BRA,268,247
FY 24-25,TAMIL NADU,KANCHEEPURAM,FRTH,FG-BRA,943,915
FY 24-25,TAMIL NADU,KANCHEEPURAM,GLRI,FG-BRA,384,379
FY 24-25,TAMIL NADU,KANCHEEPURAM,GLRR,FG-BRA,144,144
FY 24-25,TAMIL NADU,KANCHEEPURAM,HC36,FG-PETTICOAT,11,11
FY 24-25,TAMIL NADU,KANCHEEPURAM,HC40,FG-PETTICOAT,7,6
FY 24-25,TAMIL NADU,KANCHEEPURAM,HC44,FG-PETTICOAT,5,2
FY 24-25,TAMIL NADU,KANCHEEPURAM,IECDPL,FG-PANTIES,1081,483
FY 24-25,TAMIL NADU,KANCHEEPURAM,IECDPR,FG-PANTIES,2168,929
FY 24-25,TAMIL NADU,KANCHEEPURAM,IELYPC,FG-PANTIES,38,14
FY 24-25,TAMIL NADU,KANCHEEPURAM,IELYRC,FG-PANTIES,22,8
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN01,FG-BRA,755,724
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN01,FG-SLIP,100,100
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN05,FG-BRA,30,30
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN07,FG-SLIP,344,239
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN08,FG-SLIP,180,170
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN09,FG-SLIP,93,66
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN11,FG-SLIP,137,80
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN15,FG-SLIP,168,151
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN16,FG-SLIP,16,16
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN21,FG-BRA,580,563
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN27,FG-BRA,70,70
FY 24-25,TAMIL NADU,KANCHEEPURAM,IN29,FG-BRA,1486,1365
FY 24-25,TAMIL NADU,KANCHEEPURAM,KRKR,FG-BRA,30,30
FY 24-25,TAMIL NADU,KANCHEEPURAM,LL05,FG-BRA,9,4
FY 24-25,TAMIL NADU,KANCHEEPURAM,LL06,FG-BRA,36,7
FY 24-25,TAMIL NADU,KANCHEEPURAM,LOVE,FG-BRA,978,932
FY 24-25,TAMIL NADU,KANCHEEPURAM,LVHK,FG-BRA,120,120
FY 24-25,TAMIL NADU,KANCHEEPURAM,NGSL,FG-SLIP,248,197
FY 24-25,TAMIL NADU,KANCHEEPURAM,NHPB,FG-BRA,6,6
FY 24-25,TAMIL NADU,KANCHEEPURAM,NORA,FG-BRA,90,88
FY 24-25,TAMIL NADU,KANCHEEPURAM,NOVA,FG-BRA,323,116
FY 24-25,TAMIL NADU,KANCHEEPURAM,NRPB,FG-BRA,2192,1780
FY 24-25,TAMIL NADU,KANCHEEPURAM,NTHK,FG-BRA,328,328
FY 24-25,TAMIL NADU,KANCHEEPURAM,NTRL,FG-BRA,2104,2012
FY 24-25,TAMIL NADU,KANCHEEPURAM,OECDPL,FG-PANTIES,460,258
FY 24-25,TAMIL NADU,KANCHEEPURAM,OECDPR,FG-PANTIES,747,458
FY 24-25,TAMIL NADU,KANCHEEPURAM,PRTI,FG-BRA,1031,1010
FY 24-25,TAMIL NADU,KANCHEEPURAM,PRTR,FG-BRA,319,313
FY 24-25,TAMIL NADU,KANCHEEPURAM,TB01,FG-BRA,183,90
FY 24-25,TAMIL NADU,KANCHEEPURAM,TEEN,FG-BRA,167,167
FY 24-25,TAMIL NADU,KANCHEEPURAM,TRND,FG-BRA,445,445
FY 24-25,TAMIL NADU,KANCHEEPURAM,UC02,FG-BRA,30,14
FY 24-25,TAMIL NADU,KANCHEEPURAM,UC05,FG-BRA,36,13
FY 24-25,TAMIL NADU,KANCHEEPURAM,UC09,FG-BRA,1276,1124
FY 24-25,TAMIL NADU,KANCHEEPURAM,UC11,FG-BRA,26,26
FY 24-25,TAMIL NADU,KANYAKUMARI,3NSL,FG-SLIP,566,429
FY 24-25,TAMIL NADU,KANYAKUMARI,BB01,FG-BRA,121,121
FY 24-25,TAMIL NADU,KANYAKUMARI,BL01,FG-BRA,83,70
FY 24-25,TAMIL NADU,KANYAKUMARI,BUTI,FG-BRA,20,19
FY 24-25,TAMIL NADU,KANYAKUMARI,CA01,FG-BRA,3694,2914
FY 24-25,TAMIL NADU,KANYAKUMARI,CA05,FG-BRA,1565,1487
FY 24-25,TAMIL NADU,KANYAKUMARI,CA12,FG-BRA,50,34
FY 24-25,TAMIL NADU,KANYAKUMARI,CA15,FG-BRA,174,117
FY 24-25,TAMIL NADU,KANYAKUMARI,CA80,FG-BRA,2,2
FY 24-25,TAMIL NADU,KANYAKUMARI,CHRM,FG-BRA,63,61
FY 24-25,TAMIL NADU,KANYAKUMARI,CHRR,FG-BRA,72,72
FY 24-25,TAMIL NADU,KANYAKUMARI,CLSI,FG-BRA,4,4
FY 24-25,TAMIL NADU,KANYAKUMARI,CLSR,FG-BRA,44,44
FY 24-25,TAMIL NADU,KANYAKUMARI,CMFT,FG-BRA,1498,1429
FY 24-25,TAMIL NADU,KANYAKUMARI,CNDI,FG-BRA,713,684
FY 24-25,TAMIL NADU,KANYAKUMARI,CNDR,FG-BRA,127,126
FY 24-25,TAMIL NADU,KANYAKUMARI,CRSS,FG-BRA,8939,8729
FY 24-25,TAMIL NADU,KANYAKUMARI,DEFC,FG-BRA,20,8
FY 24-25,TAMIL NADU,KANYAKUMARI,DEFM,FG-BRA,70,70
FY 24-25,TAMIL NADU,KANYAKUMARI,DEFT,FG-BRA,35,32
FY 24-25,TAMIL NADU,KANYAKUMARI,EC05,FG-BRA,162,130
FY 24-25,TAMIL NADU,KANYAKUMARI,EC06,FG-BRA,175,140
FY 24-25,TAMIL NADU,KANYAKUMARI,EC07,FG-BRA,796,678
FY 24-25,TAMIL NADU,KANYAKUMARI,EEVI,FG-BRA,136,94
FY 24-25,TAMIL NADU,KANYAKUMARI,EFRT,FG-BRA,1146,1143
FY 24-25,TAMIL NADU,KANYAKUMARI,ER16,FG-BRA,48,44
FY 24-25,TAMIL NADU,KANYAKUMARI,ERCA,FG-BRA,78,76
FY 24-25,TAMIL NADU,KANYAKUMARI,ES02,FG-BRA,6589,6124
FY 24-25,TAMIL NADU,KANYAKUMARI,ES06,FG-BRA,3712,3502
FY 24-25,TAMIL NADU,KANYAKUMARI,ES11,FG-BRA,65,60
FY 24-25,TAMIL NADU,KANYAKUMARI,ES18,FG-BRA,16,13
FY 24-25,TAMIL NADU,KANYAKUMARI,ES21,FG-BRA,265,206
FY 24-25,TAMIL NADU,KANYAKUMARI,F909,FG-BRA,726,706
FY 24-25,TAMIL NADU,KANYAKUMARI,FB07,FG-BRA,751,563
FY 24-25,TAMIL NADU,KANYAKUMARI,FELZ,FG-BRA,130,113
FY 24-25,TAMIL NADU,KANYAKUMARI,FLFG,FG-BRA,428,333
FY 24-25,TAMIL NADU,KANYAKUMARI,FRTH,FG-BRA,2032,1998
FY 24-25,TAMIL NADU,KANYAKUMARI,GLRI,FG-BRA,186,176
FY 24-25,TAMIL NADU,KANYAKUMARI,GLRR,FG-BRA,129,125
FY 24-25,TAMIL NADU,KANYAKUMARI,IECDPL,FG-PANTIES,240,110
FY 24-25,TAMIL NADU,KANYAKUMARI,IECDPR,FG-PANTIES,378,246
FY 24-25,TAMIL NADU,KANYAKUMARI,IELYPC,FG-PANTIES,48,20
FY 24-25,TAMIL NADU,KANYAKUMARI,IELYRC,FG-PANTIES,24,0
FY 24-25,TAMIL NADU,KANYAKUMARI,IN01,FG-BRA,356,344
